date,symbol,open,high,low,close,volume
2021-09-21,VIC,42.75,43.2,42.5,42.8,4524800
2021-09-22,VIC,42.8,43.45,42.7,43.05,2845500
2021-09-23,VIC,43.25,43.7,43.2,43.55,2664100
2021-09-24,VIC,43.55,43.75,43.15,43.5,3207900
2021-09-27,VIC,43.5,43.75,41.6,43.05,3000800
2021-09-28,VIC,42.65,43.5,42.6,43.25,2387300
2021-09-29,VIC,43.35,43.45,43.0,43.35,1911200
2021-09-30,VIC,43.25,44.7,43.25,44.0,3404700
2021-10-01,VIC,44.0,44.2,43.6,43.85,1734200
2021-10-04,VIC,43.8,44.0,43.55,43.9,1565200
2021-10-05,VIC,43.9,44.4,43.55,44.3,2370600
2021-10-06,VIC,44.4,44.5,44.05,44.3,1736800
2021-10-07,VIC,44.15,44.75,44.15,44.4,2290900
2021-10-08,VIC,44.5,44.75,44.4,44.65,1298500
2021-10-11,VIC,44.7,46.0,44.7,45.95,2694300
2021-10-12,VIC,46.0,46.5,46.0,46.45,2438700
2021-10-13,VIC,46.5,46.9,46.4,46.55,2581200
2021-10-14,VIC,46.6,46.6,45.75,46.25,2677900
2021-10-15,VIC,46.25,46.5,46.0,46.3,1553700
2021-10-18,VIC,46.15,46.45,45.55,46.3,2039400
2021-10-19,VIC,46.3,46.35,45.75,46.2,1686700
2021-10-20,VIC,46.15,46.25,44.95,46.15,3128600
2021-10-21,VIC,45.85,46.3,45.5,45.5,2847400
2021-10-22,VIC,45.5,45.9,45.4,45.9,1428000
2021-10-25,VIC,45.95,46.25,45.6,46.05,1341200
2021-10-26,VIC,45.9,46.1,45.45,46.1,1335900
2021-10-27,VIC,46.0,47.5,45.8,47.5,3908900
2021-10-28,VIC,47.5,47.7,46.8,47.5,2086100
2021-10-29,VIC,47.1,48.25,47.1,47.9,2268000
2021-11-01,VIC,47.9,48.0,47.45,47.9,2226600
2021-11-02,VIC,47.85,48.0,47.45,47.9,1647800
2021-11-03,VIC,47.9,47.9,46.95,47.65,3568200
2021-11-04,VIC,47.6,47.75,47.0,47.5,1879100
2021-11-05,VIC,47.25,47.5,47.0,47.5,1786600
2021-11-08,VIC,47.5,47.75,47.25,47.45,1792000
2021-11-09,VIC,47.7,47.7,46.6,47.45,2373800
2021-11-10,VIC,47.55,47.6,46.8,47.45,1680500
2021-11-11,VIC,47.45,47.5,46.95,47.4,2186600
2021-11-12,VIC,47.4,47.4,46.95,47.25,1133100
2021-11-15,VIC,47.25,47.55,47.0,47.5,1922400
2021-11-16,VIC,47.5,47.55,46.95,47.4,1643900
2021-11-17,VIC,47.35,48.5,47.1,48.15,2815800
2021-11-18,VIC,48.5,49.25,47.25,47.25,3871100
2021-11-19,VIC,47.3,48.0,47.0,47.4,2032500
2021-11-22,VIC,47.25,47.5,46.5,47.4,2152100
2021-11-23,VIC,47.0,47.5,46.75,47.4,1382700
2021-11-24,VIC,47.4,47.6,46.75,47.05,2045100
2021-11-25,VIC,47.4,47.4,46.9,47.0,1401800
2021-11-26,VIC,47.95,50.0,47.6,49.25,8681700
2021-11-29,VIC,49.5,52.65,49.25,52.65,8742300
2021-11-30,VIC,52.75,53.45,51.75,52.5,4674300
2021-12-01,VIC,52.5,53.65,52.0,53.0,4082000
2021-12-02,VIC,53.0,54.25,52.55,53.6,4428600
2021-12-03,VIC,54.55,54.8,52.75,52.75,5152400
2021-12-06,VIC,53.95,54.5,51.8,52.8,5825100
2021-12-07,VIC,53.7,53.75,52.8,53.35,3026300
